filename,method,n_residues,rama_favored,rama_allowed,rama_outlier,rama_favored_frac,rama_allowed_frac,rama_outlier_frac,clashscore,n_clashes,clashscore_error,error
laproteina_020.pdb,laproteina,198,196,2,0,0.9899,0.0101,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_021.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_022.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_023.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_024.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_025.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_026.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_027.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_028.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_029.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_030.pdb,laproteina,198,195,3,0,0.9848,0.0152,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_031.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_032.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_033.pdb,laproteina,198,195,3,0,0.9848,0.0152,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_034.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_035.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_036.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_037.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_038.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_039.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_040.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_041.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_042.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_043.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_044.pdb,laproteina,198,196,2,0,0.9899,0.0101,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_045.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_046.pdb,laproteina,198,195,3,0,0.9848,0.0152,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_047.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_048.pdb,laproteina,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_049.pdb,laproteina,198,194,4,0,0.9798,0.0202,0.0,NA,NA,skipped by --skip-clashscore,
laproteina_050.pdb,laproteina,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_001.pdb,reqflow,198,193,4,1,0.9747,0.0202,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_002.pdb,reqflow,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_003.pdb,reqflow,198,192,3,3,0.9697,0.0152,0.0152,NA,NA,skipped by --skip-clashscore,
reqflow_004.pdb,reqflow,198,188,7,3,0.9495,0.0354,0.0152,NA,NA,skipped by --skip-clashscore,
reqflow_005.pdb,reqflow,198,195,3,0,0.9848,0.0152,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_006.pdb,reqflow,198,195,2,1,0.9848,0.0101,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_007.pdb,reqflow,198,196,2,0,0.9899,0.0101,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_008.pdb,reqflow,198,192,6,0,0.9697,0.0303,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_009.pdb,reqflow,198,196,2,0,0.9899,0.0101,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_010.pdb,reqflow,198,196,1,1,0.9899,0.0051,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_011.pdb,reqflow,198,197,0,1,0.9949,0.0,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_012.pdb,reqflow,198,195,2,1,0.9848,0.0101,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_013.pdb,reqflow,198,186,8,4,0.9394,0.0404,0.0202,NA,NA,skipped by --skip-clashscore,
reqflow_014.pdb,reqflow,198,194,4,0,0.9798,0.0202,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_015.pdb,reqflow,198,191,5,2,0.9646,0.0253,0.0101,NA,NA,skipped by --skip-clashscore,
reqflow_016.pdb,reqflow,198,191,4,3,0.9646,0.0202,0.0152,NA,NA,skipped by --skip-clashscore,
reqflow_017.pdb,reqflow,198,196,1,1,0.9899,0.0051,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_018.pdb,reqflow,198,195,2,1,0.9848,0.0101,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_019.pdb,reqflow,198,194,3,1,0.9798,0.0152,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_020.pdb,reqflow,198,196,2,0,0.9899,0.0101,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_021.pdb,reqflow,198,191,3,4,0.9646,0.0152,0.0202,NA,NA,skipped by --skip-clashscore,
reqflow_022.pdb,reqflow,198,192,4,2,0.9697,0.0202,0.0101,NA,NA,skipped by --skip-clashscore,
reqflow_023.pdb,reqflow,198,196,2,0,0.9899,0.0101,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_024.pdb,reqflow,198,186,11,1,0.9394,0.0556,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_025.pdb,reqflow,198,194,4,0,0.9798,0.0202,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_026.pdb,reqflow,198,194,3,1,0.9798,0.0152,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_027.pdb,reqflow,198,191,5,2,0.9646,0.0253,0.0101,NA,NA,skipped by --skip-clashscore,
reqflow_028.pdb,reqflow,198,193,4,1,0.9747,0.0202,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_029.pdb,reqflow,198,194,4,0,0.9798,0.0202,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_030.pdb,reqflow,198,193,3,2,0.9747,0.0152,0.0101,NA,NA,skipped by --skip-clashscore,
reqflow_031.pdb,reqflow,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_032.pdb,reqflow,198,194,4,0,0.9798,0.0202,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_033.pdb,reqflow,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_034.pdb,reqflow,198,192,5,1,0.9697,0.0253,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_035.pdb,reqflow,198,195,3,0,0.9848,0.0152,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_036.pdb,reqflow,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_037.pdb,reqflow,198,195,3,0,0.9848,0.0152,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_038.pdb,reqflow,198,194,4,0,0.9798,0.0202,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_039.pdb,reqflow,198,190,7,1,0.9596,0.0354,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_040.pdb,reqflow,198,198,0,0,1.0,0.0,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_041.pdb,reqflow,198,190,7,1,0.9596,0.0354,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_042.pdb,reqflow,198,189,6,3,0.9545,0.0303,0.0152,NA,NA,skipped by --skip-clashscore,
reqflow_043.pdb,reqflow,198,194,4,0,0.9798,0.0202,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_044.pdb,reqflow,198,195,3,0,0.9848,0.0152,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_045.pdb,reqflow,198,195,3,0,0.9848,0.0152,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_046.pdb,reqflow,198,196,2,0,0.9899,0.0101,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_047.pdb,reqflow,198,196,1,1,0.9899,0.0051,0.0051,NA,NA,skipped by --skip-clashscore,
reqflow_048.pdb,reqflow,198,197,1,0,0.9949,0.0051,0.0,NA,NA,skipped by --skip-clashscore,
reqflow_049.pdb,reqflow,198,190,6,2,0.9596,0.0303,0.0101,NA,NA,skipped by --skip-clashscore,
reqflow_050.pdb,reqflow,198,193,5,0,0.9747,0.0253,0.0,NA,NA,skipped by --skip-clashscore,
